Journal number,Voucher,Date,Year closed,Ledger account,Account name,Description,Currency,Amount in transaction currency,Amount,Amount in reporting currency,Posting type,Posting layer,Created by,Created date and time
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Walmart,USD,92.45,92.45,92.45,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,74.48,74.48,74.48,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,71.96,71.96,71.96,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,6.99,6.99,6.99,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,621200,Office Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,47.25,47.25,47.25,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,621200,Office Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,27.22,27.22,27.22,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,621200,Office Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,47.25,47.25,47.25,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,23.48,23.48,23.48,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,30.45,30.45,30.45,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,510950,General Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,132.04,132.04,132.04,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,531300,Computer/Software/IT,To record Debit Card Trxns for Aug 2020 - Amazon,USD,287.84,287.84,287.84,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,621200,Office Supplies,To record Debit Card Trxns for Aug 2020 - Amazon,USD,186.73,186.73,186.73,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,604000,Travel,To record Debit Card Trxns for Aug 2020 - Expedia - Rob Follano,USD,189.4,189.4,189.4,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049409,GNJL000006416,2020-08-14 00:00:00,No,675000,SG&A Repair & Maintenance,To record Debit Card Trxns for Aug 2020 - Cimag Construction,USD,207.0,207.0,207.0,Ledger journal,Current,fgilmour,2020-08-18 14:07:00
GJT-049331,APPM000013730,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,260.37,260.37,260.37,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049331,APPM000013730,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-260.37,-260.37,-260.37,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049330,APPM000013729,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,1100.0,1100.0,1100.0,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049330,APPM000013729,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-1100.0,-1100.0,-1100.0,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049329,APPM000013728,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,500.0,500.0,500.0,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049329,APPM000013728,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-500.0,-500.0,-500.0,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049328,APPM000013727,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,204858.44,204858.44,204858.44,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049328,APPM000013727,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-204858.44,-204858.44,-204858.44,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049327,APPM000013726,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,8763.76,8763.76,8763.76,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049327,APPM000013726,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-8763.76,-8763.76,-8763.76,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049326,APPM000013725,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,1637.96,1637.96,1637.96,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049326,APPM000013725,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-1637.96,-1637.96,-1637.96,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049325,APPM000013724,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,779.96,779.96,779.96,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049325,APPM000013724,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-779.96,-779.96,-779.96,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049324,APPM000013723,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,1649.72,1649.72,1649.72,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049324,APPM000013723,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-1649.72,-1649.72,-1649.72,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049323,APPM000013722,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,73.9,73.9,73.9,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049323,APPM000013722,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-73.9,-73.9,-73.9,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049322,APPM000013721,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,228.92,228.92,228.92,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049322,APPM000013721,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-228.92,-228.92,-228.92,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049321,APPM000013720,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,1439.05,1439.05,1439.05,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049321,APPM000013720,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-1439.05,-1439.05,-1439.05,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049320,APPM000013719,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,294.55,294.55,294.55,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049320,APPM000013719,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-294.55,-294.55,-294.55,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049319,APPM000013718,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,666.59,666.59,666.59,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049319,APPM000013718,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-666.59,-666.59,-666.59,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049318,APPM000013717,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,39.48,39.48,39.48,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049318,APPM000013717,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-39.48,-39.48,-39.48,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049317,APPM000013716,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,1048.64,1048.64,1048.64,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049317,APPM000013716,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-1048.64,-1048.64,-1048.64,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049316,APPM000013715,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,673.38,673.38,673.38,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049316,APPM000013715,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-673.38,-673.38,-673.38,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049315,APPM000013714,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,,USD,1110.66,1110.66,1110.66,Vendor balance,Current,sadames,2020-08-18 11:30:36
GJT-049315,APPM000013714,2020-08-14 00:00:00,No,100061,Guardians - Operating,,USD,-1110.66,-1110.66,-1110.66,Bank,Current,sadames,2020-08-18 11:30:36
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Tolls,USD,-500.0,-500.0,-500.0,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,556000,Car Expense,Tolls,USD,166.6,166.6,166.6,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,16.67,16.67,16.67,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,16.67,16.67,16.67,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,50.01,50.01,50.01,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,33.34,33.34,33.34,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,33.34,33.34,33.34,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,16.67,16.67,16.67,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,16.67,16.67,16.67,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,33.34,33.34,33.34,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,33.34,33.34,33.34,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,33.34,33.34,33.34,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049314,APIN000020054,2020-08-14 00:00:00,No,651400,SG&A Auto Expenses,Tolls,USD,50.01,50.01,50.01,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049313,APIN000020053,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/24 - 7/24/20,USD,-204858.44,-204858.44,-204858.44,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049313,APIN000020053,2020-08-14 00:00:00,No,510400,Electricity,Service Period 6/24 - 7/24/20,USD,204858.44,204858.44,204858.44,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049312,APIN000020052,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/24 - 7/24/20,USD,-8763.76,-8763.76,-8763.76,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049312,APIN000020052,2020-08-14 00:00:00,No,510400,Electricity,Service Period 6/24 - 7/24/20,USD,8763.76,8763.76,8763.76,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049311,APIN000020051,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Utilities Deposit Pensacola,USD,-1100.0,-1100.0,-1100.0,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049311,APIN000020051,2020-08-14 00:00:00,No,132000,Security Deposits,Utilities Deposit Pensacola,USD,1100.0,1100.0,1100.0,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049310,APIN000020050,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/9 - 7/10/20,USD,-228.92,-228.92,-228.92,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049310,APIN000020050,2020-08-14 00:00:00,No,510400,Electricity,Service Period 6/9 - 7/10/20,USD,114.46,114.46,114.46,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049310,APIN000020050,2020-08-14 00:00:00,No,621100,Utilities,Service Period 6/9 - 7/10/20,USD,114.46,114.46,114.46,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049309,APIN000020049,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/9 - 7/10/20,USD,-1439.05,-1439.05,-1439.05,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049309,APIN000020049,2020-08-14 00:00:00,No,510400,Electricity,Service Period 6/9 - 7/10/20,USD,719.53,719.53,719.53,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049309,APIN000020049,2020-08-14 00:00:00,No,621100,Utilities,Service Period 6/9 - 7/10/20,USD,719.52,719.52,719.52,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049308,APIN000020048,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/26 - 7/28/20,USD,-666.59,-666.59,-666.59,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049308,APIN000020048,2020-08-14 00:00:00,No,621100,Utilities,Service Period 6/26 - 7/28/20,USD,666.59,666.59,666.59,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049307,APIN000020047,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/22 - 7/22/20,USD,-39.48,-39.48,-39.48,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049307,APIN000020047,2020-08-14 00:00:00,No,621100,Utilities,Service Period 6/22 - 7/22/20,USD,39.48,39.48,39.48,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049306,APIN000020046,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/18 - 7/20/20,USD,-1048.64,-1048.64,-1048.64,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049306,APIN000020046,2020-08-14 00:00:00,No,621100,Utilities,Service Period 6/18 - 7/20/20,USD,1048.64,1048.64,1048.64,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049305,APIN000020045,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/18 - 7/20/20,USD,-673.38,-673.38,-673.38,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049305,APIN000020045,2020-08-14 00:00:00,No,621100,Utilities,Service Period 6/18 - 7/20/20,USD,673.38,673.38,673.38,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049304,APIN000020044,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/19 - 7/21/20,USD,-1110.66,-1110.66,-1110.66,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049304,APIN000020044,2020-08-14 00:00:00,No,621100,Utilities,Service Period 6/19 - 7/21/20,USD,1110.66,1110.66,1110.66,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049303,APIN000020042,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 7/13 - 8/12/20,USD,-294.55,-294.55,-294.55,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049303,APIN000020042,2020-08-14 00:00:00,No,621400,Telephony,Service Period 7/13 - 8/12/20,USD,294.55,294.55,294.55,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
GJT-049302,APIN000020041,2020-08-14 00:00:00,No,200000,Accounts Payable - Trade,Service Period 6/12 - 7/17/20,USD,-260.37,-260.37,-260.37,Vendor balance,Current,fgilmour,2020-08-17 17:54:44
GJT-049302,APIN000020041,2020-08-14 00:00:00,No,621100,Utilities,Service Period 6/12 - 7/17/20,USD,260.37,260.37,260.37,Ledger journal,Current,fgilmour,2020-08-17 17:54:44
